sequence,timestamp,pose.x,pose.y,pose.z,pose.roll,pose.pitch,pose.yaw
0,0,-2.33846,-7.15219,0.04083,-0.00142,0.02521,1.55491
1,0.1,-2.3357,-7.14836,0.04262,-0.00146,0.02582,1.55499
2,0.2,-2.33075,-7.15029,0.03873,-0.00138,0.02511,1.5552
3,0.3,-2.33698,-7.14834,0.04055,-0.00135,0.02597,1.55548
4,0.4,-2.33604,-7.15115,0.04103,-0.00146,0.02518,1.55469
5,0.5,-2.33631,-7.14775,0.03719,-0.00129,0.02561,1.55548
6,0.6,-2.33687,-7.14943,0.0397,-0.00159,0.02505,1.55515
7,0.7,-2.33814,-7.15129,0.04039,-0.00129,0.0257,1.55542
8,0.8,-2.33607,-7.14705,0.04346,-0.00159,0.02548,1.55496
9,0.9,-2.33362,-7.15195,0.04172,-0.00136,0.02581,1.55481
10,1,-2.33712,-7.15074,0.04112,-0.00165,0.02564,1.55531
11,1.1,-2.33027,-7.13812,0.03171,-0.00107,0.02501,1.55557
12,1.2,-2.33409,-7.14331,0.03444,-0.00082,0.02526,1.5558
13,1.3,-2.33276,-7.1491,0.03877,-0.00124,0.025,1.55509
14,1.4,-2.33643,-7.1473,0.0406,-0.00162,0.02568,1.55598
15,1.5,-2.33428,-7.1493,0.04191,-0.00145,0.02563,1.55472
16,1.6,-2.33544,-7.14868,0.03968,-0.00149,0.02578,1.5555
17,1.7,-2.33322,-7.15144,0.04243,-0.00155,0.02535,1.55483
18,1.8,-2.32281,-7.13544,0.03417,-0.00078,0.02541,1.5568
19,1.9,-2.32981,-7.14793,0.03537,-0.0013,0.02523,1.55456
20,2,-2.32804,-7.1472,0.04282,-0.00113,0.02577,1.55601
21,2.1,-2.31752,-7.12516,0.03402,-0.00068,0.02572,1.55671
22,2.2,-2.3309,-7.14749,0.0426,-0.0017,0.0253,1.55495
23,2.3,-2.31754,-7.13459,0.03234,-0.00092,0.02518,1.55682
24,2.4,-2.322,-7.14765,0.04248,-0.00119,0.02557,1.55531
25,2.5,-2.32135,-7.14182,0.03916,-0.00086,0.02549,1.55679
26,2.6,-2.32643,-7.15561,0.04677,-0.00149,0.02598,1.55497
27,2.7,-2.32015,-7.13674,0.03889,-0.00102,0.02566,1.55641
28,2.8,-2.31258,-7.13519,0.03421,-0.00059,0.02513,1.5561
29,2.9,-2.32008,-7.14576,0.04279,-0.0013,0.02602,1.55593
30,3,-2.31908,-7.14653,0.04069,-0.00089,0.02546,1.55625
31,3.1,-2.317,-7.14436,0.0433,-0.00131,0.02571,1.55571
32,3.2,-2.32693,-7.14757,0.04193,-0.00107,0.02525,1.55559
33,3.3,-2.32514,-7.14682,0.03913,-0.00089,0.02564,1.55545
34,3.4,-2.32674,-7.14604,0.04092,-0.00101,0.0253,1.55564
35,3.5,-2.32434,-7.14372,0.04276,-0.00112,0.02584,1.55615
36,3.6,-2.32655,-7.14392,0.04055,-0.00121,0.02571,1.55547
37,3.7,-2.33498,-7.15,0.04205,-0.00158,0.02547,1.55563
38,3.8,-2.33049,-7.14212,0.04118,-0.00115,0.02594,1.55507
39,3.9,-2.33209,-7.14658,0.04092,-0.00155,0.02527,1.55524
40,4,-2.3311,-7.14734,0.03711,-0.00132,0.02505,1.55552
41,4.1,-2.33025,-7.14797,0.03847,-0.00135,0.0253,1.55519
42,4.2,-2.32912,-7.14567,0.04362,-0.00135,0.02562,1.5554
43,4.3,-2.32971,-7.14597,0.04128,-0.00157,0.02595,1.55566
44,4.4,-2.33017,-7.13396,0.03416,-0.00109,0.02527,1.5559
45,4.5,-2.32922,-7.14627,0.03956,-0.00141,0.02569,1.55555
46,4.6,-2.3301,-7.14632,0.03924,-0.00144,0.02588,1.55518
47,4.7,-2.33441,-7.14593,0.03974,-0.00157,0.02503,1.55557
48,4.8,-2.33312,-7.14685,0.04126,-0.00134,0.0257,1.55589
49,4.9,-2.32573,-7.14713,0.03951,-0.00157,0.02549,1.55504
50,5,-2.32189,-7.12975,0.03497,-0.00093,0.02535,1.55683
51,5.1,-2.33279,-7.15255,0.04236,-0.00141,0.02576,1.55549
52,5.2,-2.34177,-7.14843,0.04085,-0.00134,0.02549,1.55456
53,5.3,-2.33991,-7.14806,0.04113,-0.00165,0.02576,1.55478
54,5.4,-2.3381,-7.15307,0.04031,-0.00167,0.02516,1.55453
55,5.5,-2.33449,-7.14965,0.04139,-0.00124,0.0257,1.55529
56,5.6,-2.33897,-7.14412,0.04117,-0.00176,0.0258,1.55537
57,5.7,-2.3409,-7.14978,0.04137,-0.00182,0.02556,1.55473
58,5.8,-2.34207,-7.15004,0.04034,-0.00149,0.02569,1.55494
59,5.9,-2.33513,-7.15138,0.04333,-0.00168,0.02509,1.55506
60,6,-2.33533,-7.15397,0.04388,-0.00126,0.02575,1.55524
61,6.1,-2.33817,-7.1529,0.04239,-0.00184,0.02548,1.55477
62,6.2,-2.3513,-7.15642,0.04197,-0.0018,0.02526,1.55439
63,6.3,-2.3499,-7.16245,0.04406,-0.00225,0.02502,1.55332
64,6.4,-2.3421,-7.15167,0.03463,-0.00165,0.02507,1.55469
65,6.5,-2.34418,-7.16007,0.0438,-0.00187,0.02517,1.55407
66,6.6,-2.34576,-7.16421,0.04346,-0.00186,0.02573,1.55322
67,6.7,-2.35542,-7.1621,0.03785,-0.00183,0.02496,1.5538
68,6.8,-2.35425,-7.16136,0.04406,-0.00225,0.02467,1.55298
69,6.9,-2.34903,-7.1589,0.03747,-0.00222,0.02518,1.55407
70,7,-2.34181,-7.16352,0.04371,-0.00211,0.02521,1.5541
71,7.1,-2.34149,-7.14822,0.03992,-0.00173,0.02532,1.55534
72,7.2,-2.34208,-7.15681,0.04155,-0.00177,0.02544,1.55428
73,7.3,-2.3504,-7.16046,0.04049,-0.00186,0.02513,1.554
74,7.4,-2.3457,-7.15739,0.04228,-0.00191,0.02539,1.55413
75,7.5,-2.34432,-7.15854,0.04105,-0.00218,0.02471,1.55373
76,7.6,-2.34934,-7.1661,0.04018,-0.00173,0.02503,1.55317
77,7.7,-2.35619,-7.15294,0.03656,-0.00212,0.02513,1.55473
78,7.8,-2.36597,-7.15912,0.03975,-0.0037,0.02458,1.55277
79,7.9,-2.36606,-7.15491,0.0402,-0.00209,0.02488,1.55341
80,8,-2.33357,-7.12839,0.02971,-0.00093,0.02544,1.55589
81,8.1,-2.31382,-7.13991,0.04647,-0.00091,0.02632,1.55709
82,8.2,-2.29767,-7.14401,0.04689,-0.00048,0.02607,1.55682
83,8.3,-2.29949,-7.14333,0.04897,-0.0004,0.02646,1.55717
84,8.4,-2.30603,-7.15137,0.05224,-0.0013,0.02653,1.55592
85,8.5,-2.30239,-7.11491,0.02791,0.00031,0.02538,1.55806
86,8.6,-2.30317,-7.14532,0.04583,-0.00051,0.02601,1.55672
87,8.7,-2.30407,-7.14026,0.04707,-0.00069,0.02626,1.55694
88,8.8,-2.30729,-7.14304,0.04568,-0.00071,0.02617,1.55679
89,8.9,-2.30871,-7.14279,0.04873,-0.0008,0.02609,1.55697
90,9,-2.30464,-7.14361,0.04936,-0.00059,0.02617,1.55681
91,9.1,-2.30126,-7.14134,0.04744,-0.00042,0.02631,1.55703
92,9.2,-2.30556,-7.14658,0.04491,-0.00078,0.02569,1.55702
93,9.3,-2.31005,-7.15462,0.05038,-0.00102,0.02633,1.55565
94,9.4,-2.30619,-7.13118,0.04248,-0.00028,0.02612,1.55741
95,9.5,-2.30407,-7.14576,0.04746,-0.00058,0.02596,1.55728
96,9.6,-2.30327,-7.14335,0.04782,-0.00066,0.02638,1.55676
97,9.7,-2.30746,-7.1447,0.04387,-0.00055,0.02607,1.55659
98,9.8,-2.30547,-7.14426,0.04978,-0.00059,0.02642,1.55691
99,9.9,-2.30754,-7.1455,0.0458,-0.00026,0.02611,1.5566
100,10,-2.30361,-7.12599,0.03775,-0.0001,0.02573,1.55768
101,10.1,-2.30264,-7.12507,0.03455,-6E-05,0.0256,1.5578
102,10.2,-2.30998,-7.1475,0.04186,-0.00075,0.0258,1.55627
103,10.3,-2.30696,-7.14343,0.04388,-0.00034,0.02612,1.55665
104,10.4,-2.30556,-7.14537,0.04551,-0.0007,0.02569,1.55714
105,10.5,-2.30643,-7.1471,0.04668,-0.00054,0.02617,1.55678
106,10.6,-2.30745,-7.14045,0.04523,-0.00061,0.02615,1.55642
107,10.7,-2.30471,-7.14251,0.04603,-0.00044,0.02615,1.55691
